"","week","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Garfield","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Wahkiakum","Walla Walla","Whatcom","Whitman","Yakima"
"29",2020-08-02,1.64705882352941,2.5,0.75,0.752136752136752,1.73333333333333,1.05494505494505,0,1.51851851851852,0.74025974025974,0.333333333333333,0.932367149758454,1,1.24550898203593,1.1875,0.714285714285714,0.666666666666667,0.916666666666667,0.608333333333333,1,1.85714285714286,1.6,1.66666666666667,1.17021276595745,0.653543307086614,1.18181818181818,2.33333333333333,0.816393442622951,NA,0.65,0.5,0.907103825136612,0.779461279461279,0.791666666666667,1.19047619047619,NA,0.752475247524752,0.75,2.58333333333333,0.906849315068493
"30",2020-08-09,0.928571428571429,2.8,0.793939393939394,0.965909090909091,1.80769230769231,0.921875,NA,0.219512195121951,0.649122807017544,0,0.818652849740933,0,1.54326923076923,1.57894736842105,1.2,3,1.02797202797203,1.05479452054795,0.551724137931034,3.84615384615385,1.25,0.4,0.545454545454545,0.771084337349398,0.307692307692308,0.714285714285714,0.827309236947791,NA,1.01923076923077,0.333333333333333,0.783132530120482,0.654427645788337,0.368421052631579,0.68,NA,1.22368421052632,0.796296296296296,0.32258064516129,0.797583081570997
"31",2020-08-16,1.15384615384615,0.357142857142857,0.961832061068702,0.770588235294118,0.531914893617021,0.875706214689266,NA,2,1,NA,0.632911392405063,NA,0.73208722741433,2.36666666666667,2,1,0.791059280855199,1.31168831168831,0.375,0.16,0.76,0,0.966666666666667,0.875,0.5,0.8,0.800970873786408,0,0.943396226415094,0,0.865384615384615,0.732673267326733,0.714285714285714,1.02941176470588,NA,0.731182795698925,0.581395348837209,13.5,0.704545454545455
"32",2020-08-23,1.03333333333333,0.8,1.25396825396825,0.709923664122137,0.52,1.04516129032258,NA,1.05555555555556,0.743243243243243,1,0.98,NA,0.851063829787234,0.450704225352113,0.416666666666667,0.5,1.00982800982801,0.653465346534653,0.5,2,0.657894736842105,NA,0.896551724137931,0.625,0,0.25,0.857575757575758,NA,0.72,NA,1.14222222222222,1.1981981981982,0.8,0.871428571428571,0,0.647058823529412,1.8,2.42222222222222,0.881720430107527
"33",2020-08-30,1.48387096774194,1.75,0.594936708860759,0.924731182795699,0.615384615384615,1.28395061728395,NA,1.26315789473684,0.745454545454545,4,1.12244897959184,NA,1.02,1.96875,0.4,0,0.832116788321168,0.712121212121212,3,0.0625,2.52,NA,0.653846153846154,0.371428571428571,NA,2,0.978798586572438,NA,0.75,NA,0.754863813229572,0.996240601503759,1.75,0.786885245901639,NA,0.818181818181818,0.977777777777778,0.932721712538226,0.945121951219512
"34",2020-09-06,0.532608695652174,2.14285714285714,0.904255319148936,1.1046511627907,0.625,0.807692307692308,0,0.5,0.780487804878049,0,0.718181818181818,0.4,0.799019607843137,1.14285714285714,6,NA,0.850877192982456,1.08510638297872,2.44444444444444,6,0.650793650793651,2.5,0.823529411764706,0.384615384615385,0.307692307692308,1,0.826714801444043,NA,0.62962962962963,0,0.77319587628866,1.24905660377358,0.571428571428571,0.833333333333333,NA,0.833333333333333,1.40909090909091,0.537704918032787,0.793548387096774
"35",2020-09-13,0.897959183673469,1.46666666666667,1.25882352941176,0.484210526315789,1.8,1.30952380952381,NA,4.75,0.5625,NA,0.924050632911392,0.5,0.975460122699387,1.11111111111111,0.833333333333333,0,0.965635738831615,0.588235294117647,1.36363636363636,0.333333333333333,1.04878048780488,0.4,1.64285714285714,1.6,0.75,0.5,1.35807860262009,NA,1.17647058823529,NA,1.12666666666667,1.38066465256798,5,1.05,NA,1.26666666666667,1.29032258064516,0.676829268292683,1.13008130081301
"36",2020-09-20,0.909090909090909,1.13636363636364,1.01869158878505,1.21739130434783,0.555555555555556,1.25454545454545,NA,0.824561403508772,1.61111111111111,NA,1.32876712328767,0,0.805031446540881,0.7625,2.1,NA,1.21708185053381,2.7,0.7,0,1.6046511627907,5,1.08695652173913,1.125,2,6,1.16398713826367,NA,1.15,0.666666666666667,1.3905325443787,1.24288840262582,1.2,2.04761904761905,NA,1.07894736842105,0.8875,1.27027027027027,1.01438848920863
"37",2020-09-27,0.4,0.64,1.52293577981651,0.892857142857143,1.8,0.920289855072464,NA,0.638297872340426,0.689655172413793,0,1.01030927835052,NA,0.6171875,0.819672131147541,0.428571428571429,NA,1.5453216374269,1.17283950617284,1.80952380952381,NA,1.08695652173913,1,1.68,1,0.666666666666667,4.16666666666667,1.00552486187845,NA,1.26086956521739,0.5,1.17021276595745,1.01056338028169,0.916666666666667,1.34883720930233,NA,0.658536585365854,0.704225352112676,0.638297872340426,0.879432624113475
"38",2020-10-04,1.25,1.375,0.86144578313253,1.5,0.777777777777778,1.25590551181102,NA,0.833333333333333,1.9,NA,1.46938775510204,0,1.51898734177215,1,2.88888888888889,1.66666666666667,1.03595080416272,0.631578947368421,1.81578947368421,1,0.546666666666667,0.3,0.785714285714286,0.777777777777778,4.25,1.4,1.35714285714286,NA,1.31034482758621,1,1.48,1.07491289198606,0.909090909090909,1.05172413793103,NA,0.814814814814815,1.34,1.57777777777778,1.04032258064516
