county week total.cases
OkanoganCounty 2020-05-17 5
PacificCounty 2020-05-17 0
PendOreilleCounty 2020-05-17 1
PierceCounty 2020-05-17 71
SanJuanCounty 2020-05-17 0
SkagitCounty 2020-05-17 1
SkamaniaCounty 2020-05-17 0
SnohomishCounty 2020-05-17 113
SpokaneCounty 2020-05-17 100
StevensCounty 2020-05-17 1
ThurstonCounty 2020-05-17 4
WahkiakumCounty 2020-05-17 0
WallaWallaCounty 2020-05-17 3
WhatcomCounty 2020-05-17 18
WhitmanCounty 2020-05-17 1
YakimaCounty 2020-05-17 668
AdamsCounty 2020-05-24 17
AsotinCounty 2020-05-24 0
BentonCounty 2020-05-24 97
ChelanCounty 2020-05-24 17
ClallamCounty 2020-05-24 0
ClarkCounty 2020-05-24 76
ColumbiaCounty 2020-05-24 0
CowlitzCounty 2020-05-24 1
DouglasCounty 2020-05-24 14
FerryCounty 2020-05-24 0
FranklinCounty 2020-05-24 134
GarfieldCounty 2020-05-24 0
GrantCounty 2020-05-24 33
GraysHarborCounty 2020-05-24 2
IslandCounty 2020-05-24 1
JeffersonCounty 2020-05-24 1
KingCounty 2020-05-24 338
KitsapCounty 2020-05-24 1
KittitasCounty 2020-05-24 5
KlickitatCounty 2020-05-24 5
LewisCounty 2020-05-24 2
LincolnCounty 2020-05-24 0
MasonCounty 2020-05-24 1
OkanoganCounty 2020-05-24 8
PacificCounty 2020-05-24 0
PendOreilleCounty 2020-05-24 0
PierceCounty 2020-05-24 89
SanJuanCounty 2020-05-24 0
SkagitCounty 2020-05-24 9
SkamaniaCounty 2020-05-24 0
SnohomishCounty 2020-05-24 67
SpokaneCounty 2020-05-24 102
StevensCounty 2020-05-24 0
ThurstonCounty 2020-05-24 24
WahkiakumCounty 2020-05-24 0
WallaWallaCounty 2020-05-24 4
WhatcomCounty 2020-05-24 23
WhitmanCounty 2020-05-24 1
YakimaCounty 2020-05-24 720
AdamsCounty 2020-05-31 14
AsotinCounty 2020-05-31 0
BentonCounty 2020-05-31 179
ChelanCounty 2020-05-31 14
ClallamCounty 2020-05-31 2
ClarkCounty 2020-05-31 59
ColumbiaCounty 2020-05-31 0
CowlitzCounty 2020-05-31 17
DouglasCounty 2020-05-31 5
FerryCounty 2020-05-31 0
FranklinCounty 2020-05-31 198
GarfieldCounty 2020-05-31 0
GrantCounty 2020-05-31 13
GraysHarborCounty 2020-05-31 1
IslandCounty 2020-05-31 0
JeffersonCounty 2020-05-31 0
KingCounty 2020-05-31 292
KitsapCounty 2020-05-31 9
KittitasCounty 2020-05-31 2
KlickitatCounty 2020-05-31 10
LewisCounty 2020-05-31 0
LincolnCounty 2020-05-31 0
MasonCounty 2020-05-31 2
OkanoganCounty 2020-05-31 12
PacificCounty 2020-05-31 1
PendOreilleCounty 2020-05-31 0
PierceCounty 2020-05-31 101
SanJuanCounty 2020-05-31 0
SkagitCounty 2020-05-31 13
SkamaniaCounty 2020-05-31 0
SnohomishCounty 2020-05-31 67
SpokaneCounty 2020-05-31 150
StevensCounty 2020-05-31 2
ThurstonCounty 2020-05-31 21
WahkiakumCounty 2020-05-31 0
WallaWallaCounty 2020-05-31 6
WhatcomCounty 2020-05-31 14
WhitmanCounty 2020-05-31 7
YakimaCounty 2020-05-31 980
AdamsCounty 2020-06-07 12
AsotinCounty 2020-06-07 1
BentonCounty 2020-06-07 213
ChelanCounty 2020-06-07 9
ClallamCounty 2020-06-07 2
ClarkCounty 2020-06-07 41
ColumbiaCounty 2020-06-07 0
CowlitzCounty 2020-06-07 26
DouglasCounty 2020-06-07 8
FerryCounty 2020-06-07 0
FranklinCounty 2020-06-07 246
GarfieldCounty 2020-06-07 0
GrantCounty 2020-06-07 97
GraysHarborCounty 2020-06-07 3
IslandCounty 2020-06-07 0
JeffersonCounty 2020-06-07 1
KingCounty 2020-06-07 335
KitsapCounty 2020-06-07 14
KittitasCounty 2020-06-07 2
KlickitatCounty 2020-06-07 10
LewisCounty 2020-06-07 1
LincolnCounty 2020-06-07 0
MasonCounty 2020-06-07 3
OkanoganCounty 2020-06-07 10
PacificCounty 2020-06-07 2
PendOreilleCounty 2020-06-07 0
PierceCounty 2020-06-07 99
SanJuanCounty 2020-06-07 1
SkagitCounty 2020-06-07 15
SkamaniaCounty 2020-06-07 0
SnohomishCounty 2020-06-07 107
SpokaneCounty 2020-06-07 95
StevensCounty 2020-06-07 3
ThurstonCounty 2020-06-07 27
WahkiakumCounty 2020-06-07 0
WallaWallaCounty 2020-06-07 8
WhatcomCounty 2020-06-07 43
WhitmanCounty 2020-06-07 2
YakimaCounty 2020-06-07 946
AdamsCounty 2020-06-14 13
AsotinCounty 2020-06-14 0
BentonCounty 2020-06-14 277
ChelanCounty 2020-06-14 17
ClallamCounty 2020-06-14 4
ClarkCounty 2020-06-14 67
ColumbiaCounty 2020-06-14 7
CowlitzCounty 2020-06-14 37
DouglasCounty 2020-06-14 12
FerryCounty 2020-06-14 0
FranklinCounty 2020-06-14 333
GarfieldCounty 2020-06-14 0
GrantCounty 2020-06-14 133
GraysHarborCounty 2020-06-14 4
IslandCounty 2020-06-14 8
JeffersonCounty 2020-06-14 1
KingCounty 2020-06-14 494
KitsapCounty 2020-06-14 12
KittitasCounty 2020-06-14 12
KlickitatCounty 2020-06-14 6
LewisCounty 2020-06-14 14
LincolnCounty 2020-06-14 0
MasonCounty 2020-06-14 2
OkanoganCounty 2020-06-14 9
PacificCounty 2020-06-14 1
PendOreilleCounty 2020-06-14 0
PierceCounty 2020-06-14 165
SanJuanCounty 2020-06-14 1
SkagitCounty 2020-06-14 23
SkamaniaCounty 2020-06-14 0
SnohomishCounty 2020-06-14 174
SpokaneCounty 2020-06-14 203
StevensCounty 2020-06-14 0
ThurstonCounty 2020-06-14 18
WahkiakumCounty 2020-06-14 1
WallaWallaCounty 2020-06-14 22
WhatcomCounty 2020-06-14 62
WhitmanCounty 2020-06-14 4
YakimaCounty 2020-06-14 847
AdamsCounty 2020-06-21 29
AsotinCounty 2020-06-21 1
BentonCounty 2020-06-21 303
ChelanCounty 2020-06-21 40
ClallamCounty 2020-06-21 3
ClarkCounty 2020-06-21 156
ColumbiaCounty 2020-06-21 0
CowlitzCounty 2020-06-21 35
DouglasCounty 2020-06-21 42
FerryCounty 2020-06-21 0
FranklinCounty 2020-06-21 380
GarfieldCounty 2020-06-21 0
GrantCounty 2020-06-21 97
GraysHarborCounty 2020-06-21 4
IslandCounty 2020-06-21 3
JeffersonCounty 2020-06-21 5
KingCounty 2020-06-21 888
KitsapCounty 2020-06-21 43
KittitasCounty 2020-06-21 46
KlickitatCounty 2020-06-21 10
LewisCounty 2020-06-21 23
LincolnCounty 2020-06-21 2
MasonCounty 2020-06-21 7
OkanoganCounty 2020-06-21 22
PacificCounty 2020-06-21 5
PendOreilleCounty 2020-06-21 1
PierceCounty 2020-06-21 275
SanJuanCounty 2020-06-21 1
SkagitCounty 2020-06-21 25
SkamaniaCounty 2020-06-21 4
SnohomishCounty 2020-06-21 219
SpokaneCounty 2020-06-21 352
StevensCounty 2020-06-21 2
ThurstonCounty 2020-06-21 41
WahkiakumCounty 2020-06-21 1
WallaWallaCounty 2020-06-21 29
WhatcomCounty 2020-06-21 107
WhitmanCounty 2020-06-21 5
YakimaCounty 2020-06-21 787
AdamsCounty 2020-06-28 54
AsotinCounty 2020-06-28 1
BentonCounty 2020-06-28 339
ChelanCounty 2020-06-28 110
ClallamCounty 2020-06-28 8
ClarkCounty 2020-06-28 185
ColumbiaCounty 2020-06-28 0
CowlitzCounty 2020-06-28 44
DouglasCounty 2020-06-28 71
FerryCounty 2020-06-28 0
FranklinCounty 2020-06-28 401
GarfieldCounty 2020-06-28 0
GrantCounty 2020-06-28 118
GraysHarborCounty 2020-06-28 16
IslandCounty 2020-06-28 5
JeffersonCounty 2020-06-28 3
KingCounty 2020-06-28 1158
KitsapCounty 2020-06-28 43
KittitasCounty 2020-06-28 41
KlickitatCounty 2020-06-28 16
LewisCounty 2020-06-28 15
LincolnCounty 2020-06-28 0
MasonCounty 2020-06-28 7
OkanoganCounty 2020-06-28 53
PacificCounty 2020-06-28 0
PendOreilleCounty 2020-06-28 2
PierceCounty 2020-06-28 346
SanJuanCounty 2020-06-28 1
SkagitCounty 2020-06-28 46
SkamaniaCounty 2020-06-28 12
SnohomishCounty 2020-06-28 259
SpokaneCounty 2020-06-28 489
StevensCounty 2020-06-28 6
ThurstonCounty 2020-06-28 50
WahkiakumCounty 2020-06-28 0
WallaWallaCounty 2020-06-28 24
WhatcomCounty 2020-06-28 50
WhitmanCounty 2020-06-28 10
YakimaCounty 2020-06-28 658
AdamsCounty 2020-07-05 58
